"filename", "language", "Vue", "JavaScript", "SCSS", "TypeScript", "comment", "blank", "total"
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\App.vue", "Vue", 9, 0, 0, 0, 0, 2, 11
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\api\login.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\api\menu.js", "JavaScript", 0, 6, 0, 0, 0, 2, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\api\request.js", "JavaScript", 0, 36, 0, 0, 4, 4, 44
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\api\users.js", "JavaScript", 0, 33, 0, 0, 1, 6, 40
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\components\HelloWorld.vue", "Vue", 57, 0, 0, 0, 1, 4, 62
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\i18n\en.js", "JavaScript", 0, 45, 0, 0, 0, 1, 46
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\i18n\index.js", "JavaScript", 0, 24, 0, 0, 1, 4, 29
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\i18n\zh.js", "JavaScript", 0, 45, 0, 0, 0, 1, 46
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\Menu\index.vue", "Vue", 53, 0, 0, 0, 4, 4, 61
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\headers\components\Breadcrumb.vue", "Vue", 47, 0, 0, 0, 1, 6, 54
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\headers\components\avatar.vue", "Vue", 24, 0, 0, 0, 0, 5, 29
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\headers\components\hamberger.vue", "Vue", 25, 0, 0, 0, 0, 4, 29
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\headers\components\lang.vue", "Vue", 66, 0, 0, 0, 2, 5, 73
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\headers\components\screenFull.vue", "Vue", 27, 0, 0, 0, 0, 6, 33
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\headers\index.vue", "Vue", 45, 0, 0, 0, 0, 3, 48
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\layout\index.vue", "Vue", 42, 0, 0, 0, 0, 4, 46
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\main.ts", "TypeScript", 0, 0, 0, 16, 0, 3, 19
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\router\index.js", "JavaScript", 0, 60, 0, 0, 6, 4, 70
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\router\permission.js", "JavaScript", 0, 18, 0, 0, 2, 2, 22
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 7, 1, 4, 12
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\store\getters.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\store\index.ts", "TypeScript", 0, 0, 0, 9, 0, 1, 10
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\store\modules\app.js", "JavaScript", 0, 43, 0, 0, 9, 2, 54
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\styles\element.scss", "SCSS", 0, 0, 4, 0, 0, 1, 5
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\styles\index.scss", "SCSS", 0, 0, 59, 0, 0, 9, 68
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\styles\mixin.scss", "SCSS", 0, 0, 24, 0, 0, 5, 29
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\styles\sidebar.scss", "SCSS", 0, 0, 147, 0, 3, 32, 182
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\styles\transition.scss", "SCSS", 0, 0, 24, 0, 1, 6, 31
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\styles\variables.scss", "SCSS", 0, 0, 21, 0, 1, 6, 28
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\utils\auth.js", "JavaScript", 0, 12, 0, 0, 3, 4, 19
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\utils\constant.js", "JavaScript", 0, 2, 0, 0, 0, 2, 4
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\utils\filters.js", "JavaScript", 0, 16, 0, 0, 4, 4, 24
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\HomeView.vue", "Vue", 16, 0, 0, 0, 0, 3, 19
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\categories\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\goods\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\login\index.vue", "Vue", 149, 0, 0, 0, 8, 21, 178
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\orders\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\params\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\reports\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\rights\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\roles\index.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\users\componets\dialog.vue", "Vue", 109, 0, 0, 0, 5, 10, 124
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\users\index.vue", "Vue", 160, 0, 0, 0, 11, 10, 181
"d:\a fore-end\myProject 完整后台管理系统项目\vue_3.2\src\views\users\options.js", "JavaScript", 0, 26, 0, 0, 0, 1, 27
"Total", "-", 864, 378, 279, 32, 68, 215, 1836
